EMPLOYER,BASE SALARY
12 WEST CAPITAL MANAGEMENT LP,161000
A PLACE FOR MOM INC,95000
ACCRETE LLC,91000
ADVANCE MAGAZINE PUBLISHERS INC,115000
AETNA RESOURCES LLC,125394.6522
ALKYMI INC (F/N/A DARK DATA LABS INC),145000
AMERICAN EXPRESS COMPANY,124476
ANTUIT INC,142506
APPFIGURES INC,85000
APPLE INC,160854.5
ASANA INC,160000
ASURION LLC,135000
AUTOMOTIVEMASTERMIND INC,94349
AXLE INFORMATICS,148750
BARCLAYS CAPITAL INC,175000
BETTER HOLDCO INC,130700.2
BLOOMBERG LP,114233.5
BLUECORE INC,115000
BYTEDANCE INC,175500
C3AI INC,130000
CARDSTACK SYNDICATE INC,100000
CAREMARK LLC,120000
CHARTER COMMUNICATIONS INC,84000
CHERRE INC,83000
CLICK THERAPEUTICS INC,175000
CLOUDFLARE INC,170000
COINBASE INC,160000
CONSTELLATION AGENCY LLC,98333.33333
DAILY HARVEST,160000
DATAMINR INC,120000
DELOITTE CONSULTING LLP,108446.5
ELLE MEDIA LLC,88480
ENIGMA TECHNOLOGIES INC,200000
EVERYDAY HEALTH MEDIA LLC,120000
EXAFLUENCE INCORPORATED,77646
EXODUSPOINT CAPITAL MANAGEMENT LP,113859
EXPEDIA INC,147014
FACEBOOK INC,160515.5172
FEEDBACK LOOP INC,100000
FIG TECH INC,120000
FIGMA INC,100000
FIREBALL INFORMATION TECHNOLOGIES LLC,120000
FOURSQUARE LABS INC,130000
FRACTAL ANALYTICS INC,89898
GEMINI TRUST COMPANY LLC,162750
GIDDY INC,103000
GOOGLE LLC,153950
GRO INTELLIGENCE INC,146666.6667
GROCERY DELIVERY E-SERVICES USA INC,100000
GROUPM WORLDWIDE LLC,88333.33333
HD CONSULTING SERVICE LLC,140000
HEARST MAGAZINE MEDIA INC,124405
HOLLER TECHNOLOGIES INC,120931
HOLOCENE ADVISORS LP,200000
HORNBLOWER GROUP INC,130000
HOTEL TONIGHT LLC,168970
I BRAIN SOLUTIONS LLC,84400
IBM CORPORATION,115100.5
INSIGHT INTELLI INC,113859
INTERNATIONAL BUSINESS MACHINES CORPORATION,114960
IP HEIGHTS LLC,85680
ISOMETRY CAPITAL LLC,200000
KELI NETWORK INC,100000
KNOWN GLOBAL LLC,135000
LAZARD FRERES & CO LLC,135000
LEMONADE INC,164000
LOGIC LOOPS LLC,95212
LYFT INC,161740
MARSH USA INC,90000
MAZARS USA LLP,67766
MCKINSEY & COMPANY INC UNITED STATES,105000
MEDIDATA SOLUTIONS INC,132500
META PLATFORMS INC,179000
MOVABLE INC,180000
MOYI INC,90605
MPG OPERATIONS LLC,109914
NEUBERGER BERMAN GROUP LLC,125000
NEUDESIC LLC,91666.66667
NOOM INC,165000
NUMERO DATA LLC,67140
OCTANE LENDING INC,152250
ORACLE AMERICA INC,129467
OSCAR MANAGEMENT CORPORATION,160000
PETAL CARD INC,145000
POINT72 LP,112902.6667
POPULUS GROUP LLC,108080
PRECISEDX INC,137197
PRICELINECOM LLC,129136
PULSEPOINT INC,200000
R3 TECHNOLOGY INC,102000
RAPP WORLDWIDE INC,68000
RBC CAPITAL MARKETS LLC,160000
RBUS INC,89898
REALM LIVING INC,108000
REORG RESEARCH INC,120000
RESEARCH FOUNDATION OF CUNY,90000
S&P GLOBAL INC,133500
SAKS & COMPANY LLC,135000
SECURITYSCORECARD INC,100000
SHIPTRACKS LLC,93000
SIGHTLY ENTERPRISES INC,130000
SLALOM LLC,115000
SP0N INC,145000
SPOTIFY USA INC,144151.25
SPRINKLR INC,166000
SQUARE INC,155000
STRIPE INC,92019
SYNTAIN TECHNOLOGIES LLC,87780
TAKE-TWO INTERACTIVE SOFTWARE INC,110074
TD BANK NATIONAL ASSOCIATION,113428.5
TECHNOSOFT CORPORATION,93000
THE BOSTON CONSULTING GROUP INC,120000
THE NEW YORK TIMES COMPANY,122500
THE NIELSEN COMPANY (US) LLC,91000
THOMAS PUBLISHING COMPANY LLC,160000
TUBI INC,165000
TWO SIGMA INSURANCE QUANTIFIED LP,162142.8571
TWO SIGMA INVESTMENTS LP,172800
UBER TECHNOLOGIES INC,147400
US BANK NATIONAL ASSOCIATION,92019
USAM GROUP INC,90000
VIOME INC,130000
VISITING NURSE SERVICE OF NEW YORK,118450
VISTAR MEDIA,113859
WE WORK MANAGEMENT LLC,110000
WORKFUSION INC,145000
XANDR INC,135000
ZELUS ANALYTICS INC,90000
ZILLOW INC,124405